Name,RA_hms,Dec_dms
J1031-6117,10:31:02.2,-61:17:50.6
J1032-5206,10:32:27.6,-52:06:08.5
J1032-5804,10:32:50.5,-58:04:34.9
B1030-58,10:32:04.8,-59:11:54.8
J1034-3224,10:34:19.5,-32:24:26.0
J1034-5817,10:34:28.6,-58:17:57.5
J1034-5934,10:34:36.5,-59:34:21.8
J1035-6345,10:35:03.0,-63:45:18.4
J1035-6720,10:35:27.4,-67:20:12.6
J1036-4353,10:36:30.2,-43:53:08.7
J1036-4926,10:36:13.1,-49:26:21.4
J1036-6559,10:36:20.0,-65:59:09.2
J1036-8317,10:36:40.5,-83:17:56.1
J1038+0032,10:38:26.9,+00:32:43.6
B1036-58,10:38:19.6,-58:31:26.8
J1039-6108,10:39:36.7,-61:08:46.2
J1039-6208,10:39:08.9,-62:08:18.1
B1039-19,10:41:36.1,-19:42:13.3
B1039-55,10:42:00.4,-55:21:05.7
J1043-6116,10:43:55.2,-61:16:50.7
J1044-5737,10:44:32.8,-57:37:19.3
J1045-0436,10:45:57.9,-04:36:23.3
J1045-4509,10:45:50.1,-45:09:54.1
J1046+0304,10:46:43.2,+03:04:06.9
B1044-57,10:46:18.8,-58:13:51.7
J1047-3032,10:47:00.8,-30:32:18.0
J1047-6709,10:47:28.2,-67:09:51.0
J1048+2339,10:48:43.4,+23:39:53.4
J1048+5349,10:48:06.4,+53:49:51.9
B1046-58,10:48:13.0,-58:32:06.2
J1048-5838,10:48:12.5,-58:38:19.0
J1049+5822,10:49:37.9,+58:22:17.1
J1049-5833,10:49:50.3,-58:33:45.1
J1050-5953,10:50:07.1,-59:53:21.4
J1051-6214,10:51:36.5,-62:14:56.5
J1052-5954,10:52:38.1,-59:54:44.1
J1052-6348,10:52:53.3,-63:48:16.6
J1054-5943,10:54:57.7,-59:43:14.1
J1054-5946,10:54:30.4,-59:46:31.0
J1054-6452,10:54:08.8,-64:52:37.5
J1055-6022,10:55:48.5,-60:22:52
J1055-6028,10:55:39.1,-60:28:37.5
J1055-6236,10:55:54.6,-62:36:48.3
J1055-6905,10:55:44.7,-69:05:11.4
J1056-5709,10:56:43.7,-57:09:34.5
B1054-62,10:56:25.5,-62:58:47.6
J1056-7117,10:56:45.9,-71:17:53.3
J1057-4754,10:57:53.1,-47:54:57.6
B1055-52,10:57:59.0,-52:26:56.3
J1057-5851,10:57:09.5,-58:51:07
B1056-78,10:57:27.2,-79:14:23.5
J1058-5957,10:58:34.2,-59:57:36.5
J1059+6459,10:59:27.5,+64:59:32
B1056-57,10:59:00.8,-57:42:14.5
J1101-6101,11:01:44.9,-61:01:39.6
J1101-6424,11:01:37.1,-64:24:39.3
J1102+02,11:02:00,+02:00:00
J1103-5403,11:03:33.2,-54:03:43.1
J1103-6025,11:03:31.4,-60:25:36.3
J1104-6103,11:04:17.2,-61:03:03.8
J1105+02,11:05:32.0,+02:28:50
J1105+37,11:05:00,+37:41:00
J1105-4353,11:05:24.8,-43:53:05
J1105-6037,11:05:00.4,-60:37:16.3
J1105-6107,11:05:26.1,-61:07:48.9
J1106-6438,11:06:28.4,-64:39:00.0
J1107-5907,11:07:34.4,-59:07:18.7
B1105-59,11:07:58.7,-59:47:04
J1107-6143,11:07:12.3,-61:43:59
J1108-6329,11:08:51.3,-63:29:24.2
J1110+58,11:11:00,+58:52:00
B1107-56,11:10:00.3,-56:37:32.5
J1111-6039,11:11:48.7,-60:39:23
J1112-6103,11:12:14.8,-61:03:31.1
B1110-65,11:12:38.4,-66:13:04.6
B1110-69,11:12:50.7,-69:26:32.3
B1112-60,11:14:22.5,-61:00:33.7
B1112+50,11:15:38.4,+50:30:12.2
J1115-0956,11:15:27.3,-09:56:53.1
J1115-6052,11:15:53.7,-60:52:18.6
J1116-2444,11:16:23.2,-24:44:56.1
B1114-41,11:16:43.0,-41:22:44.7
J1117-6154,11:17:23.7,-61:54:23.1
J1117-6447,11:17:45.0,-64:47:58
J1119-6127,11:19:14.3,-61:27:49.5
B1118-79,11:19:39.9,-79:36:29.7
J1120-24,11:20:00,-24:00:00
J1120-3618,11:20:23.3,-36:19:40.4
B1119-54,11:21:19.1,-54:44:05.4
J1122-3546,11:22:17.2,-35:46:31.1
J1123-4844,11:23:15.6,-48:44:22.5
J1123-6102,11:23:41.6,-61:02:06.3
J1123-6259,11:23:55.5,-62:59:10.9
J1123-6651,11:23:52.2,-66:51:49.0
J1124-3653,11:24:01.1,-36:53:19.0
J1124-5638,11:24:56.4,-56:38:39.7
J1124-5916,11:24:39.0,-59:16:19
J1124-6421,11:24:59.5,-64:21:17
J1125+7819,11:25:59.8,+78:19:48.7
J1125-5825,11:25:44.3,-58:25:16.8
J1125-6014,11:25:55.2,-60:14:06.8
J1126-2737,11:26:02,-27:37:11
J1126-38,11:26:18,-38:38:00
B1124-60,11:26:52.5,-60:54:39.6
J1126-6942,11:26:21.6,-69:42:15.8
J1128-6219,11:28:46.7,-62:19:09
J1129-53,11:29:21,-53:31:00
J1130+0921,11:30:55.0,+09:21:09
J1130-5826,11:30:16.3,-58:26:02.3
J1130-5925,11:30:10.4,-59:25:34.1
J1130-6807,11:30:31.9,-68:07:28.5
J1132+25,11:32:50,+25:15:00
J1132-4700,11:32:14.4,-47:00:36.3
J1132-5627,11:32:15.7,-56:27:28.9
B1131-62,11:33:51.3,-62:50:50.3
J1134-6207,11:34:03.6,-62:07:08.2
J1135-49,11:35:56,-49:25:31
J1135-6055,11:35:08.3,-60:55:36.4
B1133+16,11:36:03.1,+15:51:14.1
B1133-55,11:36:02.2,-55:25:06.6
J1136-64,11:36:24,-64:40:00
J1136-6527,11:36:25.2,-65:27:19.5
J1137+7528,11:37:02.0,+75:28:02.3
J1137-6700,11:37:32.0,-67:00:33.0
J1138-6154,11:38:20.5,-61:54:47.2
J1138-6207,11:38:21.6,-62:07:59.3
J1139-6247,11:39:00,-62:47:00
J1141-3107,11:41:25.5,-31:07:51.9
J1141-3322,11:41:42.7,-33:22:37.2
J1141-6545,11:41:07.0,-65:45:19.1
J1142+0119,11:42:50.1,+01:19:35.6
J1142-6230,11:42:52.5,-62:30:03.9
J1143-5158,11:43:15.0,-51:58:39.8
J1143-5536,11:43:09.7,-55:36:04.5
J1144-6146,11:44:34.8,-61:46:49
J1144-6217,11:44:02.1,-62:17:30.3
B1143-60,11:46:07.7,-60:30:59.6
J1146-6610,11:46:58.3,-66:10:51.3
J1148-5725,11:48:28.5,-57:25:12.6
J1148-6415,11:48:37.8,-64:15:33
J1148-6546,11:48:24.5,-65:46:25.9
J1151-6108,11:51:56.8,-61:08:17.6
J1152-5800,11:52:10.0,-58:00:34
J1152-6012,11:52:53.8,-60:12:21
J1152-6056,11:52:37.4,-60:56:22
J1153-2117,11:52:58,-21:17:53
J1154-19,11:54:00,-19:00:00
J1154-6250,11:54:20.1,-62:50:02.7
J1155-6529,11:55:13.2,-65:29:18.5
J1156-1318,11:56:42,-13:18:22
J1156-5707,11:56:07.4,-57:07:02.1
J1156-5909,11:56:21.5,-59:09:12.3
J1157-5112,11:57:08.1,-51:12:56.1
B1154-62,11:57:15.2,-62:24:50.9
J1159-6409,11:59:21.6,-64:09:57.0
J1159-7910,11:59:35.6,-79:10:06.2
J1201-6306,12:01:23.0,-63:06:59.5
B1159-58,12:02:28.3,-58:20:33.6
J1203-6242,12:03:00,-62:42:00
J1204-6843,12:04:36.6,-68:43:17.1
J1207-4508,12:07:19.2,-45:08:09.1
J1207-5050,12:07:22.4,-50:50:38.6
J1208-5936,12:08:27.0,-59:36:20.4
J1208-6238,12:08:13.9,-62:38:03.3
J1210-5226,12:10:00.9,-52:26:28.4
J1210-5559,12:10:05.9,-55:59:03.8
J1210-6322,12:10:46.7,-63:22:20.9
J1210-6550,12:10:42.0,-65:50:04.6
J1211-6324,12:11:24.2,-63:24:44.9
J1212-5838,12:12:47.1,-58:38:34.8
J1214-5830,12:14:08.4,-58:30:25.9
J1215-5328,12:15:00.6,-53:28:31.9
J1216-50,12:16:20,-50:27:01
J1216-6223,12:16:41.9,-62:23:57.0
J1216-6410,12:16:07.3,-64:10:09.1
J1220-6318,12:20:17.8,-63:18:46.4
J1221-0633,12:21:24.7,-06:33:51.6
J1222-5738,12:22:52.3,-57:38:20
J1223-5856,12:23:40.1,-58:56:48.9
J1224-6208,12:24:44.2,-62:08:41.1
B1221-63,12:24:22.2,-64:07:53.8
J1225-5556,12:25:43.8,-55:56:43.1
J1225-6035,12:25:28.6,-60:35:37.6
B1222-63,12:25:42.6,-64:08:44.7
J1226+0005,12:26:14.4,+00:05:44
J1226-3223,12:26:46.6,-32:23:01
J1227-4853,12:27:58.7,-48:53:42.7
J1227-6208,12:27:00.4,-62:08:43.7
J1227-63,12:27:12,-63:09:00
J1231-1411,12:31:11.3,-14:11:43.6
J1231-4609,12:31:45.7,-46:09:45.3
J1231-5113,12:31:00,-51:13:00
J1231-5929,12:31:42.5,-59:29:12.5
J1231-6303,12:31:13.0,-63:03:18
J1231-6511,12:31:43.9,-65:11:48
J1232-4742,12:32:19.1,-47:42:50.9
J1232-5843,12:32:06.2,-58:43:31.7
J1232-6501,12:32:17.8,-65:01:03.3
J1233-6312,12:33:31.5,-63:12:29
J1233-6344,12:33:39.9,-63:44:55
J1234-3630,12:34:12.0,-36:30:41.1
B1232-55,12:35:19,-54:57:00
J1235-6354,12:35:57.7,-63:54:30.4
J1236-0159,12:36:02.5,-01:59:10
J1236-5033,12:36:59.1,-50:33:36.2
J1236-65,12:36:55,-65:37:00
J1237-6725,12:37:25.9,-67:25:33.9
J1238+2152,12:38:23.1,+21:52:11.1
J1239+0326,12:39:38.7,+03:26:10.9
B1237+25,12:39:40.4,+24:53:49.2
J1239+3239,12:39:00,+32:00:00
J1239-48,12:39:00,-48:00:00
B1236-68,12:39:58.9,-68:32:28.5
B1237-41,12:40:17.5,-41:24:51.4
J1242+39,12:42:34,+39:38:00
J1242-4712,12:42:12.7,-47:12:18.4
J1243+17,12:43:00,+17:52:00
J1243-5735,12:43:35.3,-57:35:42.8
B1240-64,12:43:17.1,-64:23:23.7
J1244-1812,12:44:25.7,-18:12:16.2
J1244-4708,12:44:27.2,+47:08:01.9
J1244-5053,12:44:11.4,-50:53:20.6
J1244-6359,12:44:47.6,-63:59:47.4
J1244-6437,12:44:11.9,-64:37:59.0
J1244-6531,12:44:38.3,-65:31:12
J1245-6238,12:45:21.1,-62:38:55.9
J1246+2253,12:46:49.3,+22:53:43.2
J1248-6344,12:48:46.3,-63:44:09.6
J1248-6444,12:48:32.8,-64:44:00.0
J1249-6507,12:49:54.3,-65:07:19.8
J1251-7407,12:51:52.9,-74:07:15.0
J1252+53,12:52:00,+53:42:00
J1252-6314,12:52:42.6,-63:14:32.1
J1253-5820,12:53:28.3,-58:20:40.8
J1254-6150,12:54:32.4,-61:50:50.8
J1255-46,12:55:00,-46:00:00
J1255-6131,12:55:54.8,-61:31:10.1
J1255-62,12:55:18,-62:48:00
B1254-10,12:57:04.7,-10:27:05.5
B1256-67,12:59:22.6,-67:41:40.3
B1257+12,13:00:03.5,+12:40:56.4
J1300-6602,13:00:26.9,-66:02:16.8
J1301+0833,13:01:38.2,+08:33:57.5
J1301-6305,13:01:45.7,-63:05:33.9
J1301-6310,13:01:28.3,-63:10:40.5
J1302-3258,13:02:25.5,-32:58:36.8
J1302-63,13:02:04,-63:44:53
J1302-6313,13:02:19.2,-63:13:29
B1259-63,13:02:47.6,-63:50:08.6
J1303+38,13:03:18,+38:13:00
J1303-62,13:03:19,-62:12:00
J1303-6305,13:03:00.0,-63:05:00.8
J1304+12,13:04:27,+12:02:28
J1305-6203,13:05:21.1,-62:03:21.0
J1305-6256,13:05:28.0,-62:56:39
B1302-64,13:05:23.4,-64:55:28.3
J1305-66,13:05:36,-66:39:00
J1306-4035,13:06:56.3,-40:35:23.3
J1306-60,13:6:12,-60:21:00
J1306-6043,13:06:20.2,-60:43:47.4
J1306-6242,13:06:44.6,-62:42:03
B1303-66,13:06:38.1,-66:17:21.2
J1307-6318,13:07:54.7,-63:18:35
J1307-67,13:07:41,-67:03:27
J1308+2127,13:08:48.2,+21:27:06.7
J1308-23,13:08:00,-23:00:00
J1308-4650,13:08:44.5,-46:50:29.7
J1308-5844,13:08:21.0,-58:44:13.8
J1309-6415,13:09:16.6,-64:15:59
J1309-6526,13:09:00.2,-65:26:16.6
J1310-63,13:10:18,-63:19:00
B1309-12,13:11:52.6,-12:28:01.6
J1311-3430,13:11:45.7,-34:30:30.3
J1312+0051,13:12:46.6,+00:51:00.1
B1310+18,13:12:55.2,+18:10:05
J1312+1810B,13:12:54.7,+18:10:03.2
J1312+1810C,13:12:55.6,+18:10:09.5
J1312+1810D,13:12:55.6,+18:09:55.0
J1312+1810E,13:12:55.8,+18:10:17.2
B1309-53,13:12:04.7,-54:02:42.5
B1309-55,13:12:53.5,-55:16:47.3
J1312-6400,13:12:07.1,-64:00:55.9
J1313+0931,13:13:23.0,+09:31:56
J1314-6101,13:14:23.4,-61:01:16
J1316-6147,13:16:33.6,-61:47:23.0
J1316-6232,13:16:46.3,-62:32:12.2
J1317-0157,13:17:40.4,-01:57:30.0
J1317-5759,13:17:46.2,-57:59:30.5
J1317-6302,13:17:44.6,-63:02:52.2
B1316-60,13:19:20.2,-60:56:46.6
J1319-6105,13:19:26.3,-61:05:26.2
J1320+67,13:20:00,+67:30:00
J1320-3512,13:20:12.6,-35:12:26.9
B1317-53,13:20:53.9,-53:59:05.0
B1322+83,13:21:45.6,+83:23:39.4
J1321-5922,13:21:39.5,-59:22:52.1
J1322-62,13:22:54,-62:51:00
J1322-6241,13:22:32.1,-62:41:53.5
J1322-6329,13:22:18.0,-63:29:37
J1324-6146,13:24:43.9,-61:46:00
J1324-6302,13:24:13.6,-63:02:21.1
J1325-6253,13:25:04.8,-62:53:39.5
J1326+33,13:26:42,+33:46:00
J1326-4728A,13:26:39.6,-47:30:11.6
J1326-4728B,13:26:49.5,-47:29:24.8
J1326-4728C,13:26:55.2,-47:30:11.7
J1326-4728D,13:26:32.7,-47:28:40.0
J1326-4728E,13:26:42.6,-47:27:23.9
B1323-58,13:26:58.2,-58:59:28.9
B1323-63,13:26:32.4,-64:08:43.8
B1322-66,13:26:02.7,-67:00:49.2
J1327+3423,13:27:07.5,+34:23:37.6
J1327-0755,13:27:57.5,-07:55:29.9
B1323-62,13:27:17.1,-62:22:45.4
B1323-627,13:27:07.4,-63:01:15.5
J1327-6400,13:27:10.2,-64:00:13.1
B1325-43,13:28:06.4,-43:57:44.1
B1325-49,13:28:33.5,-49:21:33.4
J1328-62,13:28:35,-62:46:00
J1328-6605,13:28:46.6,-66:05:48.7
J1329+13,13:29:00,+13:44:00
J1329-6158,13:29:03.3,-61:58:59
J1331-5245,13:31:00.0,-52:45:25.4
J1332-03,13:32:00,-03:26:00
J1332-3032,13:32:52.4,-30:32:17.3
J1333-4449,13:33:44.8,-44:49:26.2
J1333-61,13:33:36,-61:48:00
J1334+10,13:34:30,+10:05:00
J1334-5839,13:34:30.1,-58:39:16.5
J1335-3642,13:35:36,-36:42:00
J1335-5656,13:35:00,-56:56:00
J1336+33,13:36:00,+33:46:00
J1336-2522,13:36:20.8,-25:22:01.6
J1337-4441,13:37:27.7,-44:41:42.3
J1337-6306,13:37:20.3,-63:06:23.3
J1337-6423,13:37:31.8,-64:23:04.9
B1334-61,13:38:09.2,-62:04:18.3
J1338-6425,13:38:24.1,-64:25:13.6
J1339-4712,13:39:56.5,-47:12:05.7
J1339-6618,13:39:56.6,-66:18:07.8
B1336-64,13:40:00.0,-64:56:43.5
J1341-6023,13:41:07.2,-60:23:35.7
B1338-62,13:41:42.6,-62:20:20.7
J1342+2822A,13:42:00.6,+28:22:31.4
J1342+2822B,13:42:11.0,+28:22:40.1
J1342+2822C,13:42:11.6,+28:22:38
J1342+2822D,13:42:10.2,+28:22:36
J1342+2822E,13:42:11.6,+28:22:38
J1342+2822F,13:42:11.6,+28:22:38
J1343+6634,13:43:59.2,+66:34:25.0
J1344-5855,13:44:53.0,-58:55:24.7
J1344-6059,13:44:39.6,-60:59:31
J1345-6115,13:45:44.4,-61:15:30.5
J1346-4918,13:46:22.3,-49:18:07.0
J1347-5947,13:47:19.2,-59:47:39.2
J1348-62,13:48:00,-62:30:00
J1348-6307,13:48:42.4,-63:07:04
J1349-6130,13:49:36.6,-61:30:17.1
J1349-63,13:49:18,-63:56:00
J1350-5115,13:50:16.1,-51:15:24.5
J1350-6225,13:50:44.4,-62:25:43.8
J1352-6141,13:52:01.4,-61:41:25.8
J1352-6803,13:52:34.4,-68:03:36.9
J1353-6341,13:53:31.0,-63:41:31.0
J1354+2453,13:54:13.3,+24:53:46.1
J1354+2454,13:54:04,+24:54:06
J1354-6249,13:54:35,-62:49:30
B1352-51,13:55:58.6,-51:53:53.9
J1355-5747,13:55:36.9,-57:47:15
J1355-5925,13:55:59.1,-59:25:00.7
J1355-6206,13:55:21.3,-62:06:20.1
J1356-5521,13:56:50.5,-55:21:12.9
J1357-2530,13:58:42,-25:33:00
B1353-62,13:57:25,-62:28:00
J1357-6429,13:57:02.4,-64:29:30.2
J1358-59,13:58:58,-59:20:00
J1358-6025,13:58:00,-60:25:00
B1356-60,13:59:58.2,-60:38:07.5
J1359-6242,13:59:30.2,-62:42:22.5
J1400+21,14:00:18,+21:27:00
J1400-1431,14:00:37.0,-14:31:47.0
J1400-6325,14:00:45.6,-63:25:42.6
B1358-63,14:01:52.4,-63:57:42.0
J1402+1306,14:02:46.4,+13:06:58
B1359-51,14:02:56.0,-50:21:43
J1403-0314,14:03:41,-03:15:28
J1403-6310,14:03:14.0,-63:10:27.2
J1403-7646,14:03:03.9,-76:46:56.8
J1404+1159,14:04:36.9,+11:59:16.0
J1405-4656,14:05:21.4,-46:56:02.3
J1405-5641,14:05:12.4,-56:41:24.2
J1406-4233,14:06:04.7,-42:33:20.6
J1406-5806,14:06:01.2,-58:06:32
J1406-59,14:6:54,-59:24:00
J1406-6121,14:06:50.0,-61:21:27.9
J1407-6048,14:07:58.6,-60:48:58.8
J1407-6153,14:07:56.5,-61:53:59
J1408-6009,14:08:14.2,-60:09:58.5
J1409+49,14:09:30,+49:44:00
J1409-6011,14:09:48.3,-60:11:23.5
J1409-6953,14:09:16.9,-69:53:34.4
J1410-6132,14:10:23.5,-61:32:08.1
J1410-7404,14:10:07.3,-74:04:53.3
J1411+2551,14:11:18.8,+25:51:08.3
J1412+7922,14:12:55.8,+79:22:03.8
J1412-6111,14:12:59.6,-61:11:30.5
J1412-6145,14:12:07.6,-61:45:28.4
J1413-5936,14:13:50.6,-59:36:08.1
J1413-6141,14:13:09.8,-61:41:13
J1413-6205,14:13:29.9,-62:05:38
J1413-6222,14:13:05.4,-62:22:27.8
B1409-62,14:13:31.3,-63:07:35.4
J1414-6802,14:14:25.7,-68:02:58
J1415-6621,14:15:31.2,-66:21:12.3
J1416-5033,14:16:44.6,-50:33:17
J1416-6037,14:16:30.5,-60:37:59.5
J1417-4402,14:17:30.6,-44:02:57.4
J1418-3921,14:18:50.2,-39:21:18.5
J1418-5945,14:18:32.3,-59:45:00
J1418-6058,14:18:42.7,-60:57:49
B1417-54,14:20:29.1,-54:16:22.7
J1420-5625,14:20:03.0,-56:25:55.0
J1420-6048,14:20:08.2,-60:48:16.4
J1421-4409,14:21:20.9,-44:09:04.5
J1422-6138,14:22:28.2,-61:38:28.3
J1423-62,14:23:36,-63:45:00
J1423-6953,14:23:26.7,-69:53:42.8
J1424-5556,14:24:12.7,-55:56:13.9
J1424-56,14:24:23,-56:40:47
J1424-5822,14:24:32.1,-58:22:55.7
J1424-6438,14:24:59.2,-64:38:10.0
J1425-5723,14:25:36.5,-57:23:30.8
J1425-5759,14:25:59.1,-57:59:10.2
J1425-6210,14:25:07.7,-62:10:04.9
J1426+52,14:27:00,+52:10:00
J1426-6136,14:26:11.6,-61:36:47.3
J1427-4158,14:27:50.7,-41:58:56.3
B1424-55,14:28:26.2,-55:30:50.0
J1429-5911,14:29:58.6,-59:11:36.6
J1429-5935,14:29:25.9,-59:35:58.9
J1430-5712,14:30:16.1,-57:12:31.4
B1426-66,14:30:40.7,-66:23:05.5
J1431-4715,14:31:44.6,-47:15:27.5
J1431-5740,14:31:03.4,-57:40:11.6
J1431-6328,14:13:21.2,-63:28:08.6
J1432-5032,14:32:52.2,-50:32:17.3
J1433+00,14:33:30,+00:28:00
J1433-6038,14:33:13.1,-60:38:34.7
J1434+7257,14:33:59.7,+72:57:26.4
J1434-5943,14:34:58.3,-59:43:41.6
J1434-6006,14:34:05.3,-60:06:29.0
J1434-6029,14:34:39.1,-60:29:49
J1435-5954,14:35:00.2,-59:54:49.3
J1435-60,14:35:08,-60:20:00
J1435-6100,14:35:20.2,-61:00:58.0
J1436-6405,14:36:37.2,-64:06:28.4
J1437-5959,14:37:01.9,-59:59:01.4
J1437-6146,14:37:15.3,-61:46:02.0
J1437-62,14:37:06,-62:50:00
J1439+7655,14:39:22,+76:55:46
J1439-5501,14:39:39.7,-55:01:23.6
B1436-63,14:40:31.2,-63:44:48.4
J1441-6137,14:41:44.3,-61:37:24
J1443-5122,14:43:26.9,-51:22:26.7
J1444+18,14:44:30,+18:10:00
J1444-5941,14:44:46.5,-59:41:19
J1444-6026,14:44:06.0,-60:26:09.4
J1445-63,14:49:48,-63:45:00
J1446-4701,14:46:35.7,-47:01:26.7
J1447-5757,14:47:00,-57:57:00
J1449-5846,14:49:25.4,-58:46:40.4
J1449-6339,14:49:54.3,-63:39:24.8
J1452-5549,14:52:07.4,-55:49:16.8
J1452-5851,14:52:52.6,-58:51:13.2
J1452-6036,14:52:51.8,-60:36:31.3
J1453+1902,14:53:45.7,+19:02:12.1
B1449-64,14:53:32.6,-64:13:16.0
J1454-5416,14:54:29.7,-54:16:50.0
J1454-5846,14:54:10.9,-58:46:34.7
J1455-3330,14:55:47.9,-33:30:46.4
J1455-59,14:55:06,-59:23:00
J1456-48,14:56:00,-48:00:00
B1451-68,14:55:59.9,-68:43:39.5
B1454-51,14:57:40.0,-51:22:54.9
J1457-5900,14:57:39.0,-59:00:51
J1457-5902,14:57:31.9,-59:02:04
J1459-6053,14:59:29.9,-60:53:20.7
J1500-6054,15:00:43.1,-60:54:21.4
J1501-0046,15:01:44.9,-00:46:23.5
J1501-5637,15:01:51.0,-56:37:48
J1502+28,15:02:09,+28:13:00
J1502+4653,15:02:19.8,+46:53:27.4
J1502-5653,15:02:57.4,-56:53:39.2
J1502-5828,15:02:43.8,-58:28:42
J1502-6128,15:02:29.7,-61:28:50.5
J1502-6752,15:02:18.6,-67:52:16.7
J1503+2111,15:03:54.6,+21:11:09.3
J1504-5621,15:04:49.1,-56:21:32
J1504-5659,15:04:31.9,-56:59:19.4
J1505-2524,15:05:00,-25:00:00
B1503-51,15:06:39.5,-51:58:10
B1504-43,15:07:34.1,-43:52:04.0
J1507-5800,15:07:03.5,-58:00:56.2
B1503-66,15:07:48.6,-66:40:57.9
B1508+55,15:09:25.6,+55:31:32.3
J1509-5850,15:09:27.1,-58:50:56.0
J1509-6015,15:09:07.5,-60:15:18.6
B1507-44,15:10:48.9,-44:22:07
J1510-5254,15:10:26.6,-52:54:39.2
J1511-5414,15:11:51.2,-54:14:40.3
J1511-5835,15:11:07.0,-58:35:28
J1512-5431,15:12:05.6,-54:31:20.8
B1508-57,15:12:43.0,-57:59:59.8
J1512-6029,15:12:27.1,-60:29:55.2
J1513-2550,15:13:23.3,-25:50:31.2
J1513-5739,15:13:58.8,-57:39:00.8
B1509-58,15:13:55.8,-59:08:09.6
J1513-5946,15:13:44.7,-59:46:31.9
J1513-6013,15:13:54.0,-60:13:26.5
B1510-48,15:14:14.5,-48:34:19.8
J1514-4946,15:14:19.1,-49:46:15.5
J1514-5316,15:14:40.1,-53:16:02.3
J1514-5925,15:14:59.1,-59:25:43.5
J1515+20,15:15:00,+20:51:00
J1515-5720,15:15:09.2,-57:20:50.1
J1516-43,15:16:32.3,-43:20:00
J1517-313,15:17:51,-31:20:00
J1517-314,15:17:51,-31:20:00
J1517-32,15:17:01,-32:26:05
J1517-4356,15:17:27.3,-43:56:18.1
J1517-4636,15:17:29.3,-46:36:00.2
B1516+02A,15:18:33.3,+02:05:27.4
B1516+02B,15:18:31.4,+02:05:15.3
J1518+0204C,15:18:32.7,+02:04:47.7
J1518+0204D,15:18:30.4,+02:04:59.7
J1518+0204E,15:18:33.3,+02:04:37.9
J1518+0204F,15:18:32.3,+02:05:12.0
J1518+0204G,15:18:28.7,+02:05:15.0
J1518+4904,15:18:16.7,+49:04:34.2
J1518-0627,15:18:59.1,-06:27:07.7
J1518-3952,15:18:56.9,-39:52:30.1
J1518-5415,15:18:13.5,-54:15:45.0
J1518-60,15:18:12,-60:29:00
J1519-5734,15:19:47.5,-57:34:13.6
J1519-6106,15:19:35.8,-61:06:54.6
J1519-6308,15:19:09.4,-63:08:19.7
J1520-5402,15:20:52.1,-54:02:05.4
J1521-57,15:21:48,-57:47:00
J1522-5525,15:22:06.7,-55:25:17.5
J1522-5735,15:22:05.3,-57:35:00
B1518-58,15:22:42.2,-58:29:02.8
J1523-3235,15:23:37.7,-32:35:42.1
J1524-5625,15:24:49.8,-56:25:23.4
J1524-5706,15:24:21.4,-57:06:34.6
J1524-5819,15:24:24.6,-58:19:14.1
J1525-5417,15:25:28.3,-54:17:20
J1525-5523,15:25:36.0,-55:23:27.2
J1525-5545,15:25:28.1,-55:45:49.8
J1525-5605,15:25:41.4,-56:05:13
J1526-2744,15:26:45.0,-27:44:05.9
J1526-5633,15:26:41.2,-56:33:43
J1526-5652,15:26:30.0,-56:52:04.9
B1524-39,15:27:58.8,-39:31:34.2
B1523-55,15:27:40.7,-55:52:08.3
J1528-3146,15:28:34.9,-31:46:06.8
J1528-4109,15:28:08.0,-41:09:28.8
J1528-5547,15:28:39.1,-55:47:23
J1528-5838,15:28:24.3,-58:38:01
J1529+40,15:29:12,+40:49:00
J1529-26,15:29:00,-26:00:00
J1529-3828,15:29:15.1,-38:28:45.8
J1529-5102,15:29:25.5,-51:02:58.0
J1529-5355,15:29:57.6,-53:55:36
J1529-5609,15:29:58.4,-56:09:50.2
J1529-5611,15:29:35.8,-56:11:29
J1530-2114,15:30:00,-21:00:00
J1530-5327,15:30:26.8,-53:27:56.0
J1530-5724,15:30:25.0,-57:24:37.1
J1530-6343,15:30:47.5,-63:43:13.6
J1531-4012,15:31:08.0,-40:12:30.8
J1531-5610,15:31:27.8,-56:10:55.4
B1530+27,15:32:10.3,+27:45:49.6
J1532-5308,15:32:35.5,-53:08:06
J1532-56,15:32:18,-56:32:00
J1534-4428,15:34:51.9,-44:28:09.4
J1534-46,15:34:08,-46:14:00
B1530-53,15:34:08.2,-53:34:19.6
B1530-539,15:34:33.6,-54:05:38.5
J1535-4114,15:35:17.0,-41:14:03.1
J1535-4415,15:35:55.9,-44:15:08.4
J1535-5450,15:35:58.2,-54:50:26
J1535-5848,15:35:16.7,-58:48:28.2
J1536+17,15:36:15,+17:49:00
J1536-30,15:36:00,-30:00:00
J1536-3602,15:36:17.3,-36:02:59.2
J1536-4948,15:36:23.2,-49:48:54.6
J1536-5433,15:36:04.8,-54:33:15
J1536-5907,15:36:17.7,-59:07:03.6
J1536-6142,15:36:57.7,-61:42:11.5
J1536-6149,15:36:58.5,-61:49:59.7
B1534+12,15:37:09.9,+11:55:55.4
J1537-4912,15:37:28.0,-49:12:03.6
J1537-5153,15:37:15.7,-51:53:06
J1537-5312,15:37:37.6,-53:12:25.0
J1537-5645,15:37:51.0,-56:45:04
J1537-61,15:37:03,-61:42:00
J1538+2345,15:38:06.0,+23:45:04.0
J1538-5438,15:38:48.9,-54:38:17
J1538-5519,15:38:40.8,-55:19:46
