Name,RA_hms,Dec_dms
B0226+70,02:31:13.9,+70:26:33.8
J0241+16,02:41:46,+16:04:00
J0242+62,02:42:35,+62:56:50
J0243+6027,02:43:00,+60:27:00
J0244+14,02:44:51,+14:27:00
J0248+4230,02:48:31.0,+42:30:20.4
J0248+6021,02:48:18.6,+60:21:34.7
J0250+5854,02:50:17.7,+58:54:01.3
J0251+2606,02:51:02.5,+26:06:09.9
B0254-53,02:55:56.2,-53:04:21.2
J0301+35,03:01:00,+35:00:00
J0302+2252,03:02:31.9,+22:52:12.1
B0301+19,03:04:33.1,+19:32:51.4
J0305+11,03:05:06,+11:23:00
J0307+7443,03:07:55.8,+74:43:13.4
J0312-0921,03:12:06.2,-9:21:56
J0317+13,03:17:54,+13:29:00
J0318+0253,03:18:15.5,+02:53:01.4
B0320+39,03:23:26.6,+39:44:52.4
J0324+5239,03:24:55.4,+52:39:31.3
J0325+6744,03:25:05.1,+67:44:59.3
J0329+1654,03:29:08.5,+16:54:02
B0329+54,03:32:59.4,+54:34:43.3
B0331+45,03:35:16.6,+45:55:53.4
J0335+6623,03:35:57.0,+66:23:23.6
J0337+1715,03:37:43.8,+17:15:14.8
J0337+79,03:37:22,+79:01:44
J0340+4130,03:40:23.2,+41:30:45.2
J0341+5711,03:41:00,+57:11:00
J0343+06,03:43:00,+06:00:00
B0339+53,03:43:12.9,+53:12:53.4
J0343-3000,03:43:27.9,-30:00:27.5
J0344-0901,03:44:37.4,-09:01:02.6
J0348+0432,03:48:43.6,+04:32:11.4
J0349+2340,03:49:57.3,+23:40:53
J0355+28,03:55:00,+28:00:00
J0357+3205,03:57:52.5,+32:05:25
B0353+52,03:57:44.8,+52:36:57.4
J0358+4155,03:58:03.1,+41:55:19.0
B0355+54,03:58:53.7,+54:13:13.7
J0358+6627,03:58:37.9,+66:27:46.5
J0359+5414,03:59:26.0,+54:14:55.7
B0403-76,04:01:51.7,-76:08:12.9
J0402+4825,04:02:40.6,+48:25:57.5
J0405+3347,04:05:29.5,+33:47:00.3
J0406+30,04:06:00,+30:00:00
J0406+3039,04:06:32.5,+30:39:42.4
B0402+61,04:06:30.0,+61:38:41.4
J0407+1607,04:07:54.9,+16:07:16.4
J0408+4955_P,04:08:07.2,+49:55:00
J0408+551,04:08:00,+55:00:00
J0408+552,04:08:00,+55:00:00
J0410-31,04:10:39,-31:07:29
J0413+58,04:13:00,+58:00:00
J0414+31,04:14:00,+31:00:00
J0414+4859_P,04:14:57.7,+48:59:00
J0415+6111,04:15:51.6,+61:11:51.8
B0410+69,04:15:55.6,+69:54:09.8
J0416+5201_P,04:16:27.2,+52:01:00
J0417+35,04:17:43,+35:45:00
J0417+5058_P,04:17:44.9,+50:58:00
J0417+61,04:17:00,+61:08:00
J0418+5732,04:18:33.8,+57:32:22.9
J0418+6635,04:18:47.9,+66:35:24.7
J0418-4154,04:18:03.7,-41:54:14.4
J0419+44,04:19:00,+44:00:00
J0420+4451,04:20:21.0,+44:51:02.5
J0420-5022,04:20:01.9,-50:22:48.1
J0421+3255,04:21:33.2,+32:55:50
J0421-0345,04:21:33.5,-03:45:06.6
J0426+4933,04:26:06.8,+49:33:38.4
J0427+4723,04:27:51.4,+47:23:01.8
J0435+2749,04:35:51.8,+27:49:01.7
J0437-4715,04:37:16.0,-47:15:10.0
J0447+2447,04:47:07.8,+24:47:50.2
J0447-04,04:47:00,-04:35:00
J0448-2749,04:48:41.5,-27:49:46.7
J0449-7031,04:49:05.6,-70:31:31.7
B0447-12,04:50:08.8,-12:48:07.1
J0451-67,04:51:50,-67:18:00
B0450-18,04:52:34.1,-17:59:23.3
J0452-3418,04:52:00.7,-34:18:42
J0453+1559,04:53:45.4,+15:59:21.3
J0454+4529,04:54:59.3,+45:29:46.7
B0450+55,04:54:07.7,+55:43:41.4
B0456-69,04:55:47.5,-69:51:34.3
J0456-69,04:56:30,-69:10:00
J0456-7031,04:56:02.5,-70:31:06.6
J0457+23,04:57:06,+23:34:00
J0457-6337,04:57:07.7,-63:37:30.4
J0457-69,04:57:02,-69:46:00
J0458-0505,04:58:37.1,-05:05:05.1
J0458-67,04:58:59,-67:43:00
J0459-0210,04:59:51.9,-02:10:06.6
J0501+4516,05:01:06.7,+45:16:33.9
B0458+46,05:02:04.5,+46:54:06.0
B0502-66,05:02:50.5,-66:17:58.8
J0506+50,05:06:14.1,+50:30:30
J0509+0856,05:09:22.2,+08:56:25.0
J0509+37,05:09:00,+37:32:00
J0509+3801,05:09:31.7,+38:01:18.0
J0509-6838,05:09:58.1,-68:38:46.0
J0509-6845,05:09:55.2,-68:45:09.5
J0511-6508,05:11:56.5,-65:08:36.3
J0514+4010_P,05:14:59.3,+40:10:00
J0514-4002A,05:14:06.6,-40:02:48.8
J0514-4002B,05:14:06.7,-40:02:47.9
J0514-4002C,05:14:06.6,-40:02:49.4
J0514-4002D,05:14:06.7,-40:02:48.2
J0514-4002E,05:28:14.7,-40:02:48.0
J0514-4002F,05:14:06.7,-40:02:48.5
J0514-4002G,05:14:06.6,-40:02:48.1
J0514-4002H,05:14:06.6,-40:02:48
J0514-4002I,05:14:06.7,-40:02:48.2
J0514-4002J,05:14:06.7,-40:02:48
J0514-4002K,05:14:06.8,-40:02:48
J0514-4002L,05:14:06.8,-40:02:48.0
J0514-4002M,05:14:06.8,-40:02:48
J0514-4002N,05:14:06.7,-40:02:47
J0514-4408,05:14:52.1,-44:08:37.3
J0517+2212,05:17:17.1,+22:12:51.9
J0517+3436_P,05:17:54.6,+34:36:00
J0518+2431,05:18:14.0,+24:31:19
J0518+5125,05:18:26.1,+51:25:58.7
J0518+5416,05:18:53.1,+54:16:50.0
J0518-6939,05:18:15.5,-69:39:45.2
J0518-6946,05:18:58.3,-69:46:16.7
J0519+44,05:19:00,+44:00:00
J0519-6931,05:19:08.3,-69:31:25.6
J0519-6932,05:19:46.9,-69:32:23.4
J0520+3722_P,05:20:13.5,+37:22:00
J0520-2553,05:20:36.1,-25:53:12.2
J0521-68,05:21:44,-68:35:00
J0522-6847,05:22:23.0,-68:47:02.2
J0523-7125,05:23:48.6,-71:25:52.5
B0523+11,05:25:56.5,+11:15:18.7
J0525-6607,05:26:00.9,-66:04:36.3
J0526+3158_P,05:26:03.9,+31:58:00
B0525+21,05:28:52.2,+22:00:04
J0528+3529_P,05:28:28.9,+35:29:00
J0529-0715,05:29:08.9,-07:15:26.4
B0529-66,05:29:50.9,-66:52:39.9
J0530-3847,05:30:09.7,-38:47:05.3
J0530-39,05:30:00,-39:00:00
J0532-6639,05:32:59.5,-66:39:37.3
J0532-69,05:32:04,-69:46:00
J0533+0402,05:33:25.8,+04:02:00.1
J0533+6759,05:33:55.1,+67:59:17.4
J0533-4524,05:33:13.8,-45:24:50.2
B0531+21,05:34:31.9,+22:00:52.1
J0534+34,05:34:30,+34:07:00
J0534-13,05:34:00,-13:00:00
J0534-6703,05:34:36.1,-67:03:48.8
J0534-6905,05:34:54.6,-69:05:57.9
J0535-66,05:35:40,-66:52:00
J0535-6935,05:35:00,-69:35:00
B0538-75,05:36:30.8,-75:43:54.3
J0537-69,05:37:43,-69:21:00
J0537-6910,05:37:47.4,-69:10:19.8
J0538+2817,05:38:25.0,+28:17:09.1
J0540+3207,05:40:37.1,+32:07:37.3
J0540+4542,05:40:07.9,+45:42:52.6
B0540-69,05:40:11.2,-69:19:54.1
J0540-7125,05:40:30.8,-71:25:31.4
J0541+2959_P,05:41:44.4,+29:59:00
J0541+3335_P,05:41:41.8,+33:35:00
J0542-68,05:42:35,-68:16:00
B0540+23,05:43:09.6,+23:29:05
J0543-6851,05:43:52.7,-68:51:25.3
J0544+20,05:44:12,+20:50:00
J0545-03,05:45:00,-03:10:00
J0546+2441,05:46:28.7,+24:41:21
J0550+09,05:50:28,+09:51:00
J0553+4111,05:53:23.8,+41:11:38.9
J0554+3107,05:54:05.0,+31:07:41
J0555+3948,05:55:00,+39:48:00
J0555-7056,05:55:01.8,-70:56:45.6
J0556-67,05:56:25,-67:29:00
J0557+1550,05:57:31.4,+15:50:06.0
J0557+2442_P,05:57:20.0,+24:42:00
J0557-2948,05:57:32.9,-29:48:16.8
B0559-57,06:00:46.5,-57:56:54
B0559-05,06:01:58.9,-05:27:50.8
J0605+1937_P,06:05:54.6,+19:37:00
J0605+3757,06:05:05.5,+37:57:35.9
J0608+00,06:08:49,+00:39:00
J0608+1635,06:08:51.6,+16:35:09.4
J0609+2130,06:09:58.8,+21:30:02.8
J0610-2100,06:10:13.6,-21:00:27.7
J0611+04,06:11:18,+04:06:00
J0611+1436,06:11:18.6,+14:36:52
J0611+30,06:11:16,+30:16:00
B0609+37,06:12:48.6,+37:21:37.3
J0612+37216,06:12:44.1,+37:21:40
J0613+3731,06:13:12.1,+37:31:38.3
J0613-0200,06:13:43.9,-02:00:47.2
B0611+22,06:14:17.0,+22:29:56.8
J0614+83,06:14:00,+83:14:00
J0614-3329,06:14:10.3,-33:29:54.1
J0620+1711_P,06:20:30.4,+17:11:00
J0621+0336,06:21:11.2,+03:36:45.5
J0621+1002,06:21:22.1,+10:02:38.7
J0621+2514,06:21:10.8,+25:14:03.8
J0621-55,06:20:42,-56:05:00
J0622+0339_P,06:22:19.4,+03:39:00
J0622+3749,06:22:10.5,+37:49:13.6
J0623+0220_P,06:23:24.7,+02:20:00
J0623+0340,06:23:46.7,+03:40:06.8
B0621-04,06:24:20.0,-04:24:50.4
J0625+10,06:25:45,+10:16:00
J0625+1403_P,06:25:06.6,+14:03:00
J0627+0649,06:27:53.6,+06:49:54.0
J0627+0706,06:27:44.1,+07:06:33.0
J0627+16,06:27:13,+16:12:00
J0628+0909,06:28:36.1,+09:09:13.9
B0626+24,06:29:05.7,+24:15:41.5
J0630+1002_P,06:30:24.8,+10:02:00
J0630+19,06:30:04,+19:37:00
J0630-0046,06:30:26.9,-00:46:05.8
B0628-28,06:30:49.4,-28:34:42.7
J0631+0646,06:31:52.3,+06:46:14.2
J0631+1036,06:31:27.5,+10:37:02.5
J0633+0632,06:33:44.2,+06:32:34.9
J0633+1746,06:33:54.1,+17:46:12.9
J0633-2015,06:33:08.8,-20:15:07.1
J0635+0533,06:35:18,+05:33:11
J0636+5128,06:36:04.8,+51:28:59.9
J0636-23,06:36:00,-23:00:00
J0636-3044,06:36:34.3,-30:44:01.1
J0636-4549,06:36:33.7,-45:49:32.6
J0637+0332_P,06:37:41,+03:32:00
J0639+0828_P,06:39:53.0,+08:28:00
J0639-0704,06:39:58.6,-07:04:38.2
J0640-0139,06:40:45.2,-01:39:49.6
J0641+0359_P,06:41:12.5,+03:59:00
J0641+0448_P,06:41:33.3,+04:48:00
J0641+07,06:41:10,+07:44:00
J0642+0238_P,06:42:12.7,+02:38:00
J0643+0350_P,06:43:01.8,+03:50:00
J0645+5158,06:45:59.0,+51:58:14.9
J0645+80,06:46:00,+80:09:00
J0646+0905,06:46:31.0,+09:05:49.6
J0646-54,06:46:22.4,-54:52:57
J0647+0913,06:47:15.6,+09:13:59.5
