Name,RA_hms,Dec_dms
3C 273,12 29 06.6997,+02 03 08.598
3C 286,13 31 08.288,+30 30 32.96
Cas A,23 23 24.0,+58 48 54
Cyg A,19 59 28.356,+40 44 02.10
Tau A (Crab),05 34 31.94,+22 00 52.2
Virgo A (M87),12 30 49.423,+12 23 28.04
Sgr A*,17 45 40.0409,-29 00 28.118
3C 147,05 42 36.137,+49 51 07.23
Ori A (M42),05 35 17.3,-05 23 28
NGC 1275 (3C84),03 19 48.160,+41 30 42.10
